n_samples,n_features,log_n_samples,log_n_features,feature_ratio,target_mean,target_std,target_skew,target_kurtosis,mean_feature_skew,mean_feature_kurtosis,mean_abs_corr,max_abs_corr,mean_predictor_r2,decision_stump_r2,stump_vs_mean_r2_ratio,simple_rule_r2,rule_vs_mean_r2_ratio,tree_advantage,tabpfn_suitable,svm_suitable,linear_favorable,BayesianRidge_rank,LinearRegression_rank,SVR_rank,RandomForestRegressor_rank,GradientBoostingRegressor_rank,LGBMRegressor_rank,HistGradientBoostingRegressor_rank,XGBRegressor_rank,DecisionTreeRegressor_rank,MLPRegressor_rank,LGBMRegressor_vs_mean_r2_ratio,LGBMRegressor_vs_stump_r2_ratio,XGBRegressor_1pct_r2,XGBRegressor_vs_mean_r2_ratio,XGBRegressor_vs_stump_r2_ratio,RandomForestRegressor_1pct_r2,RandomForestRegressor_vs_mean_r2_ratio,RandomForestRegressor_vs_stump_r2_ratio,DecisionTreeRegressor_1pct_r2,DecisionTreeRegressor_vs_mean_r2_ratio,DecisionTreeRegressor_vs_stump_r2_ratio,HistGradientBoostingRegressor_1pct_r2,HistGradientBoostingRegressor_vs_mean_r2_ratio,HistGradientBoostingRegressor_vs_stump_r2_ratio,LinearRegression_1pct_r2,LinearRegression_vs_mean_r2_ratio,LinearRegression_vs_stump_r2_ratio,BayesianRidge_1pct_r2,BayesianRidge_vs_mean_r2_ratio,BayesianRidge_vs_stump_r2_ratio,GradientBoostingRegressor_1pct_r2,GradientBoostingRegressor_vs_mean_r2_ratio,GradientBoostingRegressor_vs_stump_r2_ratio,MLPRegressor_vs_mean_r2_ratio,MLPRegressor_vs_stump_r2_ratio,SVR_1pct_r2,SVR_vs_mean_r2_ratio,SVR_vs_stump_r2_ratio
130,9,4.875197323201151,2.302585092994046,0.06923076923076923,22.182923076923075,15.79715614358648,0.1696121535979699,-0.924572178082288,0.7478757928915235,-0.5744710721707289,0.2422023890396363,0.6711022888904368,-0.17744734430340525,0.4022023704067985,4022023704.067985,0.4082202089196211,4082202089.1962104,-0.00601783851282256,1,1,0,2,1,9,5,6,4,3,7,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,9,5.659482215759621,2.302585092994046,0.03146853146853147,24.657342657342657,10.340094340985871,0.0559335100004539,0.04978598191123762,0.8657747670033821,-0.780482320370441,0.15120819154136417,0.6897508703827542,-0.001232126625086094,0.02410405720665265,241040572.0665265,-0.06635310521442483,-663531052.1442484,0.09045716242107749,1,1,0,7,6,10,3,8,1,5,2,4,9,-812299118.4280148,-3.369968430890641,-1.1163852214813232,-11163852214.813232,-46.315241119374875,-0.4157198724755371,-4157198724.7553706,-17.246883747056476,-0.8886175448811513,-8886175448.811512,-36.8658909685916,-0.08122991184280148,-812299118.4280148,-3.369968430890641,-2.3441426229993483,-23441426229.99348,-97.25095667099444,-0.334950874574623,-3349508745.74623,-13.896037156855797,-0.8736485717099447,-8736485717.099447,-36.24487629695884,-5476402016.806698,-22.71983496328256,-0.25733284573122384,-2573328457.312238,-10.675914163537609
55,2,4.02535169073515,1.0986122886681098,0.03636363636363636,43.27512727272728,23.789848012090097,0.8636109395169634,-0.16326799288344063,-1.7431098519436363e-16,-2.0,0.7779287853630107,0.7779287853630107,-0.08783219046089119,-0.1122816456181841,-1122816456.181841,0.5959889004064317,5959889004.064317,-0.7082705460246158,1,0,0,2,3,9,4,5,7,8,1,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,13,5.68697535633982,2.6390573296152584,0.04421768707482993,0.36054421768707484,0.48015839551078354,0.5808740766245468,-1.66258530710558,0.9525865186989262,-0.2012680892831189,0.12579943391674037,0.6255101133374146,-0.020128589679110798,0.3111109199420051,3111109199.420051,0.30528074456047494,3052807445.604749,0.005830175381530189,1,1,0,4,7,1,8,3,9,5,6,10,2,-9894613.583136814,-0.0031804134631408278,-0.3456720687253665,-3456720687.253665,-1.1110894750650475,0.13426656908665102,1342665690.8665102,0.43157138010996193,-1.3448477751756442,-13448477751.756441,-4.322727647831649,-0.0009894613583136813,-9894613.583136814,-0.0031804134631408278,-2.162711239983382,-21627112399.833817,-6.951576114353484,0.022811425184095846,228114251.84095845,0.07332248314635878,-0.1651609275415813,-1651609275.415813,-0.5308747361628107,-835810872.2111912,-0.268653659719497,-0.16434983688726978,-1643498368.8726978,-0.5282676574576893
158,7,5.0689042022202315,2.0794415416798357,0.04430379746835443,398.69556962025314,357.94805123849335,1.0877680450441614,0.7915591892437455,1.2764211850248093,0.7457412683021047,0.25773855163388776,0.9995171931003152,-0.03528591579338736,0.7473100259698766,7473100259.698766,0.8520179989201228,8520179989.201227,-0.10470797295024614,1,1,1,4,5,9,1,2,8,7,3,6,10,-4675862162.169919,-0.6256924167585568,0.38311629686941395,3831162968.6941395,0.5126604535677098,0.1916759405203874,1916759405.2038739,0.256487848228218,0.3792832632019132,3792832632.0191317,0.5075313457887447,-0.4675862162169919,-4675862162.169919,-0.6256924167585568,0.710035704215234,7100357042.15234,0.9501220103312984,0.7426535713208491,7426535713.20849,0.9937690456608229,0.37986299536596824,3798629953.6596823,0.5083071043680607,-10888981241.326263,-1.4570902119497575,-0.678936752986429,-6789367529.864289,-0.9085074860400659
2536,72,7.838737559599282,4.290459441148391,0.028391167192429023,0.028785488958990538,0.16720312372794466,5.6364319102999545,29.769364679447598,2.237963952596805,4.185915254953202,0.2964514268297309,0.9765890328258698,-0.0005002518136703049,0.03928631591793885,392863159.1793885,0.00970868925140389,97086892.5140389,0.029577626666534962,0,1,0,7,6,10,3,8,1,5,2,4,9,-269905533.0634259,-0.6870217447398321,-0.026990652084350586,-269906520.84350586,-0.6870242590506217,-0.02699055330634259,-269905533.0634259,-0.6870217447398321,-0.02699055330634259,-269905533.0634259,-0.6870217447398321,-0.02699055330634259,-269905533.0634259,-0.6870217447398321,-0.02699055330634259,-269905533.0634259,-0.6870217447398321,-0.02699055330634259,-269905533.0634259,-0.6870217447398321,-0.02699055330634259,-269905533.0634259,-0.6870217447398321,-748931509496713.9,-1906341.9208384922,-0.02699055330634259,-269905533.0634259,-0.6870217447398321
40768,10,10.615677267673389,2.3978952727983707,0.0002452904238618524,-8.856154932166723,10.419985218280704,-0.8348120738365788,-0.4719455845058138,1.5851121926492189,2.7754894097451333,0.0488411029028545,0.7467822490271648,-1.7286257531390348e-05,0.40936516664419675,4093651666.4419675,0.814649265156179,8146492651.5617895,-0.4052840985119822,0,0,1,10,9,8,2,7,3,4,5,6,1,9745962025.340492,2.380750200422226,0.9854362135346095,9854362135.346094,2.407230252668542,0.9936769137091142,9936769137.09114,2.427360690834687,0.966423143868136,9664231438.68136,2.3607849973911215,0.9717269746439566,9717269746.439566,2.373741231111003,0.8072014100877218,8072014100.877218,1.971837068368125,0.8074047390704943,8074047390.704943,1.97233376178354,0.990953877836383,9909538778.36383,2.4207088403730235,6971398422.959471,1.7029779255787831,0.0970185634806483,970185634.806483,0.23699760357229616
365,3,5.902633333401366,1.3862943611198906,0.00821917808219178,9132.161643835616,816.7609322479943,-0.33008189179876635,-0.6941200076121992,0.6584158767962817,-1.4999999999999998,0.007270639156723863,0.013542854894212945,-0.0017865126738076942,0.24744692284497438,2474469228.4497437,0.016130924262626967,161309242.62626967,0.23131599858234742,1,1,0,8,7,9,4,1,3,2,5,6,10,-472400768.9954024,-0.1909099388119535,-0.30415451526641846,-3041545152.6641846,-1.2291707319269087,-0.14194265094976632,-1419426509.4976633,-0.5736286768807122,-1.0509087793446743,-10509087793.446743,-4.247006862166838,-0.04724007689954024,-472400768.9954024,-0.1909099388119535,-0.4641395093052534,-4641395093.052534,-1.8757134013585492,-0.25177545188796624,-2517754518.8796625,-1.0174927576113109,0.3733375664371469,3733375664.3714685,1.5087581698118067,-1221783346749.2605,-493.755724541666,-0.3004874678478151,-3004874678.478151,-1.2143512006252373
559,4,6.327936783729195,1.6094379124341003,0.007155635062611807,1.3273703041144902,10.294508603909643,10.13400306560105,108.55842348527622,0.7771411708527747,-1.0419867112005587,0.14897167973104333,0.4432034056160949,-0.011884869217708705,0.4790179093031083,4790179093.031082,0.06297391334301938,629739133.4301938,0.4160439959600889,1,1,0,8,7,9,1,2,6,4,5,3,10,-217261399.82831237,-0.04535559017916298,-0.02580404281616211,-258040428.1616211,-0.053868638969475524,-0.02521909614104967,-252190961.41049668,-0.05264750158869692,-0.02612762254042922,-261276225.40429217,-0.05454414549643996,-0.02172613998283124,-217261399.82831237,-0.04535559017916298,-854.625764409676,-8546257644096.76,-1784.1206932179527,-0.04979520189992748,-497952018.99927473,-0.10395269348565954,-0.026127488555807155,-261274885.55807152,-0.054543865789524075,-174480360629.00873,-36.424600675755265,-0.02352572529532093,-235257252.9532093,-0.04911241278963237
20,8,3.044522437723423,2.1972245773362196,0.4,101.0,12.876334882255899,0.8081422882349895,-0.49530368531563207,1.5306552368695912,1.368036108143449,0.2575859166066651,0.6711921011937761,-0.017231166873081794,0.217688654353562,2176886543.5356197,-0.5776207987081037,-5776207987.081037,0.7953094530616657,1,0,0,7,6,10,3,8,1,5,2,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
