n_samples,n_features,log_n_samples,log_n_features,feature_ratio,target_mean,target_std,target_skew,target_kurtosis,mean_feature_skew,mean_feature_kurtosis,mean_abs_corr,max_abs_corr,mean_predictor_r2,decision_stump_r2,stump_vs_mean_r2_ratio,simple_rule_r2,rule_vs_mean_r2_ratio,tree_advantage,tabpfn_suitable,svm_suitable,linear_favorable,BayesianRidge_rank,LinearRegression_rank,SVR_rank,RandomForestRegressor_rank,GradientBoostingRegressor_rank,LGBMRegressor_rank,HistGradientBoostingRegressor_rank,XGBRegressor_rank,DecisionTreeRegressor_rank,MLPRegressor_rank,LGBMRegressor_1pct_r2,LGBMRegressor_vs_mean_r2_ratio,LGBMRegressor_vs_stump_r2_ratio,XGBRegressor_1pct_r2,XGBRegressor_vs_mean_r2_ratio,XGBRegressor_vs_stump_r2_ratio,RandomForestRegressor_1pct_r2,RandomForestRegressor_vs_mean_r2_ratio,RandomForestRegressor_vs_stump_r2_ratio,DecisionTreeRegressor_1pct_r2,DecisionTreeRegressor_vs_mean_r2_ratio,DecisionTreeRegressor_vs_stump_r2_ratio,HistGradientBoostingRegressor_1pct_r2,HistGradientBoostingRegressor_vs_mean_r2_ratio,HistGradientBoostingRegressor_vs_stump_r2_ratio,LinearRegression_1pct_r2,LinearRegression_vs_mean_r2_ratio,LinearRegression_vs_stump_r2_ratio,BayesianRidge_1pct_r2,BayesianRidge_vs_mean_r2_ratio,BayesianRidge_vs_stump_r2_ratio,GradientBoostingRegressor_1pct_r2,GradientBoostingRegressor_vs_mean_r2_ratio,GradientBoostingRegressor_vs_stump_r2_ratio,MLPRegressor_1pct_r2,MLPRegressor_vs_mean_r2_ratio,MLPRegressor_vs_stump_r2_ratio,SVR_1pct_r2,SVR_vs_mean_r2_ratio,SVR_vs_stump_r2_ratio
130,9,4.875197323201151,2.302585092994046,0.06923076923076923,22.182923076923075,15.858267227266708,0.1696121535979699,-0.924572178082288,0.5572187636798062,-1.1803640366105834,0.24220238903963626,0.6711022888904369,-0.17744734430340525,0.4022023704067985,4022023704.067985,0.4082202089196211,4082202089.1962104,-0.00601783851282256,1,1,0,2,1,9,5,6,4,3,8,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,9,5.659482215759621,2.302585092994046,0.03146853146853147,24.657342657342657,10.358218972495898,0.0559335100004539,0.04978598191123762,1.410328766587404,1.023138605424296,0.1512081915413642,0.6897508703827544,-0.001232126625086094,0.02410405720665265,241040572.0665265,-0.06635310521442483,-663531052.1442484,0.09045716242107749,1,1,0,7,6,10,3,8,1,5,2,4,9,-0.07043717288714513,-704371728.8714513,-2.9222123181696014,-0.9124438762664795,-9124438762.664795,-37.85436901529787,-0.19778623317764676,-1977862331.7764676,-8.205516253216421,-1.267749385576947,-12677493855.76947,-52.594854663183085,-0.07043717288714513,-704371728.8714513,-2.9222123181696014,-6.497896516872225,-64978965168.722244,-269.57687916036076,-0.03558931038698132,-355893103.8698132,-1.4764863060961693,-0.548113811299928,-5481138112.99928,-22.739483506894853,-0.723092861634415,-7230928616.34415,-29.998802916665973,0.004912599935720463,49125999.35720463,0.20380801014547043
55,2,4.02535169073515,1.0986122886681098,0.03636363636363636,43.27512727272728,24.00911391924336,0.8636109395169634,-0.16326799288344063,0.0,-2.0,0.7779287853630107,0.7779287853630107,-0.08783219046089119,-0.1122816456181841,-1122816456.181841,0.5959889004064318,5959889004.064318,-0.7082705460246159,1,0,0,2,3,9,5,4,7,8,1,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,13,5.68697535633982,2.6390573296152584,0.04421768707482993,0.36054421768707484,0.48097708049660515,0.5808740766245468,-1.66258530710558,1.235076706660356,0.1637749914411719,0.12579943391674034,0.6255101133374147,-0.020128589679110798,0.3111109199420051,3111109199.420051,0.3052807445604755,3052807445.604755,0.005830175381529634,1,1,0,3,7,1,4,2,8,5,6,10,9,-0.033817330210773155,-338173302.1077315,-0.10869862818404805,-0.4012529050137439,-4012529050.137439,-1.2897422729119965,0.20596159250585466,2059615925.0585465,0.6620198112758254,-0.6153395784543325,-6153395784.543324,-1.9778784318115201,-0.033817330210773155,-338173302.1077315,-0.10869862818404805,-1.4209415129208627,-14209415129.208626,-4.567314812304703,-1.4208864932901482,-14208864932.901482,-4.567137963383024,-0.5923906552350673,-5923906552.350673,-1.9041139904234032,-0.01713309141495656,-171330914.14956558,-0.05507068481604688,0.2812149720265702,2812149720.265702,0.9039058226531942
158,7,5.0689042022202315,2.0794415416798357,0.04430379746835443,398.69556962025314,359.08620371714636,1.0877680450441614,0.7915591892437455,1.9982857387159825,2.0805499983391282,0.2577385516338878,0.999517193100315,-0.03528591579338736,0.7473100259698766,7473100259.698766,0.8520179989201229,8520179989.201228,-0.10470797295024625,1,1,1,4,5,9,1,2,8,7,3,6,10,-0.042567740806613186,-425677408.06613183,-0.05696128691886311,0.43951492349613086,4395149234.9613085,0.5881293013909695,0.656151055543546,6561510555.43546,0.8780171986746433,0.5574272509065289,5574272509.065289,0.745911645147657,-0.04256774082991455,-425677408.29914546,-0.056961286950043426,0.631383249664308,6313832496.64308,0.8448745871499368,0.7309453801395206,7309453801.3952055,0.9781019319135755,0.679353160552097,6793531605.52097,0.9090646946298043,-1.5159043045769862,-15159043045.769861,-2.0284811549391564,-0.12120423299414562,-1212042329.941456,-0.16218735033943096
365,3,5.902633333401366,1.3862943611198906,0.00821917808219178,9132.161643835616,817.8820871096718,-0.33008189179876635,-0.6941200076121992,0.6584158767962817,-1.4999999999999998,0.007270639156723865,0.013542854894212981,-0.0017865126738076942,0.24744692284497438,2474469228.4497437,0.016130924262626967,161309242.62626967,0.23131599858234742,1,1,0,8,7,9,4,1,3,2,5,6,10,-0.043981990904937485,-439819909.0493748,-0.17774313133201589,-0.38011491298675537,-3801149129.8675537,-1.5361472618711753,0.13747889454515938,1374788945.4515936,0.5555894288945754,0.07582819059886736,758281905.9886736,0.30644224517745877,-0.043981990904937485,-439819909.0493748,-0.17774313133201589,-0.16646302027363413,-1664630202.7363412,-0.6727221270717652,-0.04397802300847253,-439780230.0847253,-0.177727095988277,-0.08216654262779355,-821665426.2779355,-0.3320572415413342,-121.93123794538779,-1219312379453.878,-492.75713976761705,-0.0002948020419328845,-2948020.419328845,-0.0011913748554374956
559,4,6.327936783729195,1.6094379124341003,0.007155635062611807,1.3273703041144902,10.303728944856843,10.13400306560105,108.55842348527622,0.7441417978080747,-1.079877231938835,0.14897167973104325,0.44320340561609495,-0.011884869217708705,0.4790179093031083,4790179093.031082,0.06297391334302038,629739133.4302038,0.4160439959600879,1,1,0,8,7,9,1,2,6,4,5,3,10,-0.02172613998283124,-217261399.82831237,-0.04535559017916298,-0.025670528411865234,-256705284.11865234,-0.05358991368237485,-0.02194026660977544,-219402666.0977544,-0.04580260191460251,-0.025606119867727983,-256061198.67727983,-0.05345545410813689,-0.02172613998283124,-217261399.82831237,-0.04535559017916298,-36.605087888737714,-366050878887.37714,-76.4169505519993,-0.028351341622357307,-283513416.223573,-0.05918639172302308,-0.02560600880136521,-256060088.0136521,-0.053455222245484955,-0.4712430929122704,-4712430929.122704,-0.9837692573913386,-0.023475418372847168,-234754183.72847167,-0.049007391825913175
20,8,3.044522437723423,2.1972245773362196,0.4,101.0,13.210840843393491,0.8081422882349895,-0.49530368531563207,2.1509433169752485,2.863207836861399,0.2575859166066651,0.6711921011937773,-0.017231166873081794,0.217688654353562,2176886543.5356197,-0.5776207987081028,-5776207987.081028,0.7953094530616648,1,0,0,7,6,10,3,8,1,5,2,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,4,3.8918202981106265,1.6094379124341003,0.08333333333333333,347.0625,284.33972834801204,0.904871338059984,-0.016140589306729236,1.1547005383792515,-0.6666666666666665,1.7134473730292405e-17,3.385833533502598e-17,-0.001096652661486841,0.47079705990473386,4707970599.0473385,0.5864107449011264,5864107449.011264,-0.11561368499639257,1,0,0,2,3,9,1,4,7,8,5,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,5,4.532599493153256,1.791759469228055,0.05434782608695652,5.934782608695652,1.1271314151184706,-1.0753056433321095,0.831984188464364,1.334314719715917,0.06546107246660116,0.17754871989090878,0.598772322895491,-0.00012500000000015277,0.26316137959781594,2631613795.9781594,0.5520448041136904,5520448041.136904,-0.28888342451587445,1,0,0,1,2,3,6,8,4,5,9,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
