n_samples,n_features,log_n_samples,log_n_features,feature_ratio,target_mean,target_std,target_skew,target_kurtosis,mean_feature_skew,mean_feature_kurtosis,mean_abs_corr,max_abs_corr,mean_predictor_r2,decision_stump_r2,simple_rule_r2,LGBMRegressor_1pct_r2,XGBRegressor_1pct_r2,RandomForestRegressor_1pct_r2,DecisionTreeRegressor_1pct_r2,HistGradientBoostingRegressor_1pct_r2,GradientBoostingRegressor_1pct_r2,MLPRegressor_1pct_r2,BayesianRidge_1pct_r2,LinearRegression_1pct_r2,SVR_1pct_r2,TabPFNRegressor_1pct_r2,tree_advantage,tabpfn_suitable,svm_suitable,linear_favorable,BayesianRidge_rank,TabPFNRegressor_rank,RandomForestRegressor_rank,SVR_rank,XGBRegressor_rank,GradientBoostingRegressor_rank,HistGradientBoostingRegressor_rank,MLPRegressor_rank,LinearRegression_rank,LGBMRegressor_rank,DecisionTreeRegressor_rank
360,90,5.888877958,4.510859507,0.25,8,4.320493799,0,-1.210714286,0.4653018071,-0.1744191231,0.2665484914,0.9997655413,-0.003167457142,0.1203035915,-0.05269307675,-0.0229110686,-0.7122014761,0.03109501408,-0.590782261,-0.0229110686,-0.3408218814,0.0450359673,-0.02405298552,-0.4603372766,-0.01617549809,0.09755915403,0.1729966682,0,1,0,10,1,3,8,2,4,6,9,11,5,7
2536,72,7.83873756,4.290459441,0.02839116719,0.02878548896,0.1672031237,5.63643191,29.76936468,2.237963953,4.185915255,0.2964514268,0.9765890328,-0.0005002518137,0.03928631592,0.009708689251,-0.04138263545,-3.150681496,-0.1114502564,-0.9512820513,-0.04138263545,-0.6805752113,-56676.08024,-15.23426318,-15.23676692,-0.05447075061,-0.03182935715,0.02957762667,0,1,0,1,2,8,4,7,9,5,11,3,6,10
8192,32,9.01103541,3.496507561,0.00390625,0.0004371812744,0.03025791173,0.01594544668,0.03913384099,0.1257436059,-1.98316656,0.00851202346,0.03090779965,-0.001254866498,0.1570495963,0.2138889577,-0.03168174671,-0.1575767632,0.04922014767,-0.6779644411,-0.03688302724,-0.105742647,-31.29423403,0.01714980938,-0.870362342,-0.07909233787,0.8631312197,-0.05683936141,0,1,0,8,1,5,10,4,6,2,11,9,3,7
1994,127,7.598399329,4.852030264,0.06369107322,0.2379789368,0.2329264729,1.521452861,1.8256667,11.12952701,121.9130732,0.1828139139,0.9999938758,-0.01160796045,0.3429677578,-48.91080119,-5.29E-05,-0.1365765202,0.3111250401,0.03899506631,-5.29E-05,0.3476481369,-21960378.35,-0.5287140505,-0.5292500165,-0.0064318797,0.4119136835,49.25376895,0,1,0,2,1,5,10,8,6,4,11,7,3,9
40768,10,10.61567727,2.397895273,0.0002452904239,-8.856154932,10.41998522,-0.8348120738,-0.4719455845,1.585112193,2.77548941,0.0488411029,0.746782249,-1.73E-05,0.4093651666,0.8146492652,0.9828171997,0.9856590232,0.9854469279,0.9632356665,0.9826110463,0.9917282869,0.6937574214,0.8031292578,0.8045957439,-0.0040379575,0.8849722653,-0.4052840985,0,0,1,10,11,2,8,5,7,4,1,9,3,6
12,1142,2.564949357,7.041411664,95.16666667,0.1012256667,0.2732162839,2.931195994,6.771568588,32.94694048,1099.831713,0.3754377665,1,-0.2666788492,-0.09285916055,-0.3725931161,,,,,,,,,,,,0.2797339556,0,0,0,10,5,3,2,7,1,4,11,9,6,8
11,1142,2.48490665,7.041411664,103.8181818,0.1968588182,0.335004824,1.620038527,0.8947980493,31.10245436,1006.571579,0.3558533242,1,-0.08798867824,-0.6029431493,0.3928615506,,,,,,,,,,,,-0.9958046999,0,0,0,9,8,4,5,2,3,7,11,10,6,1
13,1142,2.63905733,7.041411664,87.84615385,0.161115,0.2790774204,2.074249933,3.414430343,30.22903428,966.4997168,0.3608541104,1,-0.4573948604,-0.1098586196,-2.639779409,,,,,,,,,,,,2.52992079,0,0,0,9,5,7,2,8,3,4,11,10,6,1
4450,202,8.400884069,5.313205979,0.04539325843,0.3997083106,0.1693734343,0.3097654,-0.3542530028,11.34642685,137.3308341,0.245577969,1,-0.003764383542,0.143353265,-0.9168747524,-0.02253732601,-0.08882730246,0.1005699754,-0.373032913,-0.02253732661,-0.08844814788,-8709.315132,-135.6159786,-135.739906,-0.03005905517,0.1523099759,1.060228017,0,1,0,6,1,4,7,8,5,3,11,10,2,9
25,9,3.258096538,2.302585093,0.36,0.43922184,0.2710532207,0.2129721168,-0.6511776954,1.64692518,1.312131763,0.4813837657,0.9855954529,-0.4952775447,-0.4018416177,-2.90372285,,,,,,,,,,,,2.501881232,1,0,0,5,3,2,4,1,8,6,10,11,7,9
30,1142,3.433987204,7.041411664,38.06666667,0.1095564,0.2062758547,2.971666404,9.184928728,33.0612686,1104.471271,0.2779896367,1,-0.1408385078,-0.2415966846,-0.294972339,,,,,,,,,,,,0.05337565434,0,0,0,9,4,5,1,8,6,3,11,10,2,7
26,1142,3.295836866,7.041411664,43.92307692,0.1061843846,0.2076107748,3.180871701,10.5245769,19.46305915,387.4365728,0.504983408,1,-4.720750306,-1.568346753,-53.87499741,,,,,,,,,,,,52.30665065,0,0,0,10,5,6,7,1,8,4,11,9,3,2
79,320,4.382026635,5.771441123,4.050632911,0.574807,0.2295165305,-0.6388139888,-0.1046311243,13.31111163,199.460087,0.2897947525,1,-0.3236189797,-0.3256205884,-4.977798235,,,,,,,,,,,,4.652177646,0,0,0,9,1,4,8,3,2,6,11,10,7,5
37,1142,3.63758616,7.041411664,30.86486486,0.4874158919,0.2238327285,0.260680735,-0.4105550544,26.58872629,775.1717245,0.2740021581,1,-0.2204616749,-1.200661498,-162928734739,,,,,,,,,,,,162928734738,0,0,0,9,3,6,4,5,7,2,10,11,1,8
