n_samples,n_features,log_n_samples,log_n_features,feature_ratio,target_mean,target_std,target_skew,target_kurtosis,mean_feature_skew,mean_feature_kurtosis,mean_abs_corr,max_abs_corr,mean_predictor_r2,decision_stump_r2,stump_vs_mean_r2_ratio,simple_rule_r2,rule_vs_mean_r2_ratio,tree_advantage,tabpfn_suitable,svm_suitable,linear_favorable,BayesianRidge_rank,LinearRegression_rank,SVR_rank,RandomForestRegressor_rank,GradientBoostingRegressor_rank,LGBMRegressor_rank,HistGradientBoostingRegressor_rank,XGBRegressor_rank,DecisionTreeRegressor_rank,MLPRegressor_rank
130,9,4.875197323201150,2.302585092994050,0.06923076923076920,22.182923076923100,15.79715614358650,0.1696121535979700,-0.924572178082288,0.7478757928915240,-0.5744710721707290,0.2422023890396360,0.6711022888904370,-0.17744734430340500,0.4022023704067990,4022023704.067990,0.4082202089196210,4082202089.1962100,-0.00601783851282256,1,1,0,2,1,9,5,6,4,3,7,8,10
286,9,5.659482215759620,2.302585092994050,0.03146853146853150,24.657342657342700,10.340094340985900,0.0559335100004539,0.04978598191123760,0.8657747670033820,-0.780482320370441,0.15120819154136400,0.6897508703827540,-0.001232126625086090,0.02410405720665270,241040572.0665270,-0.06635310521442480,-663531052.1442480,0.09045716242107750,1,1,0,7,6,10,3,8,1,5,2,4,9
55,2,4.02535169073515,1.0986122886681100,0.03636363636363640,43.27512727272730,23.789848012090100,0.8636109395169630,-0.16326799288344100,-1.74310985194364E-16,-2.0,0.7779287853630110,0.7779287853630110,-0.08783219046089120,-0.1122816456181840,-1122816456.181840,0.5959889004064320,5959889004.064320,-0.7082705460246160,1,0,0,2,3,9,4,5,7,8,1,6,10
294,13,5.68697535633982,2.6390573296152600,0.04421768707482990,0.36054421768707500,0.48015839551078400,0.5808740766245470,-1.66258530710558,0.9525865186989260,-0.2012680892831190,0.12579943391674000,0.6255101133374150,-0.020128589679110800,0.3111109199420050,3111109199.420050,0.30528074456047500,3052807445.604750,0.005830175381530190,1,1,0,4,7,1,8,3,9,5,6,10,2
158,7,5.0689042022202300,2.0794415416798400,0.04430379746835440,398.69556962025300,357.94805123849300,1.0877680450441600,0.7915591892437460,1.2764211850248100,0.7457412683021050,0.25773855163388800,0.9995171931003150,-0.03528591579338740,0.7473100259698770,7473100259.698770,0.8520179989201230,8520179989.201230,-0.10470797295024600,1,1,1,4,5,9,1,2,8,7,3,6,10
2536,72,7.838737559599280,4.290459441148390,0.028391167192429000,0.028785488958990500,0.16720312372794500,5.6364319102999500,29.769364679447600,2.237963952596810,4.185915254953200,0.2964514268297310,0.9765890328258700,-0.0005002518136703050,0.03928631591793890,392863159.1793890,0.00970868925140389,97086892.5140389,0.029577626666535000,0,1,0,7,6,10,3,8,1,5,2,4,9
40768,10,10.615677267673400,2.3978952727983700,0.0002452904238618520,-8.856154932166720,10.419985218280700,-0.8348120738365790,-0.4719455845058140,1.5851121926492200,2.7754894097451300,0.0488411029028545,0.7467822490271650,-1.72862575313903E-05,0.40936516664419700,4093651666.4419700,0.814649265156179,8146492651.5617900,-0.4052840985119820,0,0,1,10,9,8,2,7,3,4,5,6,1
365,3,5.902633333401370,1.3862943611198900,0.00821917808219178,9132.161643835620,816.7609322479940,-0.33008189179876600,-0.6941200076121990,0.6584158767962820,-1.5000000000000000,0.007270639156723860,0.013542854894212900,-0.0017865126738076900,0.24744692284497400,2474469228.4497400,0.016130924262627000,161309242.62627000,0.23131599858234700,1,1,0,8,7,9,4,1,3,2,5,6,10
559,4,6.327936783729200,1.6094379124341000,0.007155635062611810,1.3273703041144900,10.294508603909600,10.13400306560110,108.55842348527600,0.7771411708527750,-1.0419867112005600,0.14897167973104300,0.4432034056160950,-0.011884869217708700,0.4790179093031080,4790179093.031080,0.06297391334301940,629739133.4301940,0.4160439959600890,1,1,0,8,7,9,1,2,6,4,5,3,10
20,8,3.044522437723420,2.1972245773362200,0.4,101.0,12.876334882255900,0.8081422882349900,-0.49530368531563200,1.5306552368695900,1.368036108143450,0.2575859166066650,0.6711921011937760,-0.017231166873081800,0.217688654353562,2176886543.5356200,-0.5776207987081040,-5776207987.081040,0.7953094530616660,1,0,0,7,6,10,3,8,1,5,2,4,9
